Model,Epoch,Top-1 %
TimeSFormer,1,70.7446813583374
TimeSFormer,5,80.31914830207825
TimeSFormer,15,85.6382966041565
VideoMAE,1,78.72340679168701
VideoMAE,5,82.97872543334961
VideoMAE,12,89.89361524581909
ViViT,1,79.78723645210266
ViViT,8,85.10638475418091
ViViT,15,86.17021441459656
