Model,Sec/Epoch,Total Epochs,Total Train Time (min),Params (M)
TimeSFormer (baseline),21.703269338607786,15,5.4258173346519465,121.277977
VideoMAE ,29.920604324340818,12,5.984120864868164,86.244889
ViViT,111.68267755508423,15,27.920669388771056,89.256217
