True_class,Predicted_as,Count
cartwheel,flic_flac,4
flic_flac,pullup,2
smoke,wave,2
chew,smile,2
brush_hair,chew,1
catch,shoot_gun,1
cartwheel,handstand,1
brush_hair,situp,1
draw_sword,shoot_bow,1
eat,smoke,1
