,Frame count,Fine-tune strategy,Pooling (proposed component)
16,87.70053386688232,,
4,80.74866533279419,,
8,85.02673506736755,,
cls,,,91.97860956192017
full,,88.23529481887817,
head_only,,80.21390438079834,
mean,,,91.44384860992432
partial,,91.97860956192017,
