Model,Top-1 %,Top-5 %,Macro-F1,Params (M),Frames,Sec/Epoch,Total Train Time (min)
TimeSFormer (baseline),85.6382966041565,97.87234042553192,0.8469246570423041,121.277977,8,21.703269338607786,5.4258173346519465
ViViT,86.17021441459656,97.3404255319149,0.8512250951662718,89.256217,32,111.68267755508423,27.920669388771056
