motion_magnitude,actor_size,tube_iou,class
0.07608159631490707,0.44709914922714233,0.6962754,brush_hair
0.05158145725727081,0.49550092220306396,0.75473005,brush_hair
0.056912101805210114,0.4467054009437561,0.88927025,brush_hair
0.38274067640304565,0.5294422507286072,0.7385953,brush_hair
0.16373348236083984,0.6216634511947632,0.3538807,brush_hair
0.16396409273147583,0.4812319576740265,0.6839108,brush_hair
0.15733064711093903,0.4962899386882782,0.42833143,brush_hair
0.11325354874134064,0.47949257493019104,0.38585466,brush_hair
0.18689343333244324,0.4423903226852417,0.4070167,brush_hair
0.1431247740983963,0.5887657403945923,0.5450806,brush_hair
0.04056391492486,0.19632229208946228,0.37518728,brush_hair
0.037298135459423065,0.18401166796684265,0.4950472,brush_hair
0.1370657980442047,0.10566851496696472,0.0,catch
0.204017773270607,0.09129597246646881,0.0,catch
0.06708161532878876,0.0434483140707016,0.0,catch
0.033634740859270096,0.13791805505752563,0.14280725,catch
0.055466536432504654,0.18587680160999298,0.28641444,catch
0.051844578236341476,0.21541930735111237,0.66052806,catch
0.03013872541487217,0.152069091796875,0.33315778,catch
0.052288785576820374,0.10592268407344818,0.0,catch
0.05018535628914833,0.12788599729537964,0.008613895,catch
0.04095389321446419,0.16965928673744202,0.15241861,catch
0.04793333262205124,0.1545831859111786,0.013567133,catch
0.05037593096494675,0.16922731697559357,0.35248965,catch
0.062364183366298676,0.142056405544281,0.32293707,catch
0.04691198840737343,0.14659026265144348,0.35509348,catch
0.12559188902378082,0.38281676173210144,0.6471781,clap
0.15600533783435822,0.4105902910232544,0.58468014,clap
0.05345713347196579,0.30418187379837036,0.7974357,clap
0.06501910090446472,0.328978955745697,0.8008498,clap
0.1356910914182663,0.4748145639896393,0.4488374,clap
0.06779217720031738,0.35256320238113403,0.78951657,clap
0.05940292775630951,0.3691639304161072,0.7834729,clap
0.06924279034137726,0.41151684522628784,0.6700614,clap
0.06284239888191223,0.3886356055736542,0.7640896,clap
0.03676403686404228,0.23044145107269287,0.43458337,clap
0.03641807287931442,0.25440168380737305,0.48061162,clap
0.03575628623366356,0.25919008255004883,0.60696083,clap
0.02589593082666397,0.40582412481307983,0.72244287,clap
0.11329645663499832,0.10780356824398041,0.14365862,climb_stairs
