Model,Epochs,Top-1 %,Top-5 %,Macro-F1,Params (M),Frames
TimeSFormer (baseline),15,85.6382966041565,97.87234042553192,0.8469246570423041,121.277977,8
VideoMAE (main-exam),12,89.89361524581909,98.40425531914893,0.895001129589365,86.244889,16
"ViViT (new, LSA)",15,86.17021441459656,97.3404255319149,0.8512250951662718,89.256217,32
